COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,AÑO,CANTIDAD_EXTORSION,PROMEDIO_EXTORSION,CANTIDAD_SUBVERSIVAS,PROMEDIO_SUBVERSIVAS,COD_DPTO,COD_DPTO-MPIO,Total,COBERTURA 2G,COBERTURA 3G,COBERTUTA 4G
25,CUNDINAMARCA,25740,SIBATE,2023,4.0,1.0,0.0,0.0,25,25740,39761,1.0,1.0,1.0
25,CUNDINAMARCA,25740,SIBATE,2024,6.0,1.0,0.0,0.0,25,25740,41054,0.0,0.0,0.0
25,CUNDINAMARCA,25743,SILVANIA,2018,3.0,1.0,0.0,0.0,25,25743,21625,1.0,1.0,0.0
25,CUNDINAMARCA,25743,SILVANIA,2019,3.0,1.0,0.0,0.0,25,25743,22511,1.0,1.0,0.0
25,CUNDINAMARCA,25743,SILVANIA,2020,5.0,1.0,0.0,0.0,25,25743,23201,1.0,1.0,0.0
25,CUNDINAMARCA,25743,SILVANIA,2021,3.0,1.0,0.0,0.0,25,25743,23767,1.0,1.0,1.0
25,CUNDINAMARCA,25743,SILVANIA,2022,6.0,1.0,0.0,0.0,25,25743,24522,1.0,1.0,1.0
25,CUNDINAMARCA,25743,SILVANIA,2023,5.0,1.0,0.0,0.0,25,25743,25347,1.0,1.0,1.0
25,CUNDINAMARCA,25745,SIMIJACA,2020,3.0,1.0,0.0,0.0,25,25745,13826,1.0,1.0,0.0
25,CUNDINAMARCA,25745,SIMIJACA,2021,1.0,1.0,0.0,0.0,25,25745,14205,1.0,1.0,1.0
25,CUNDINAMARCA,25745,SIMIJACA,2022,1.0,1.0,0.0,0.0,25,25745,14662,1.0,1.0,1.0
25,CUNDINAMARCA,25745,SIMIJACA,2024,1.0,1.0,0.0,0.0,25,25745,15634,0.0,0.0,0.0
25,CUNDINAMARCA,25754,SOACHA,2018,33.0,1.1,2.0,1.0,25,25754,660179,1.0,1.0,0.0
25,CUNDINAMARCA,25754,SOACHA,2019,29.0,1.035714285714286,0.0,0.0,25,25754,690876,1.0,1.0,0.0
25,CUNDINAMARCA,25754,SOACHA,2020,71.0,1.183333333333333,4.0,1.333333333333333,25,25754,715252,1.0,1.0,0.0
25,CUNDINAMARCA,25754,SOACHA,2021,74.0,1.088235294117647,3.0,1.0,25,25754,735961,1.0,1.0,1.0
25,CUNDINAMARCA,25754,SOACHA,2022,66.0,1.081967213114754,2.0,2.0,25,25754,758113,1.0,1.0,1.0
25,CUNDINAMARCA,25754,SOACHA,2023,74.0,1.174603174603175,1.0,1.0,25,25754,782647,1.0,1.0,1.0
25,CUNDINAMARCA,25754,SOACHA,2024,49.0,1.065217391304348,0.0,0.0,25,25754,806253,0.0,0.0,0.0
25,CUNDINAMARCA,25758,SOPO,2018,2.0,1.0,0.0,0.0,25,25758,25782,1.0,1.0,0.0
25,CUNDINAMARCA,25758,SOPO,2019,3.0,1.0,0.0,0.0,25,25758,27004,1.0,1.0,0.0
25,CUNDINAMARCA,25758,SOPO,2021,3.0,1.0,0.0,0.0,25,25758,28868,1.0,1.0,1.0
25,CUNDINAMARCA,25758,SOPO,2023,4.0,1.0,0.0,0.0,25,25758,30780,1.0,1.0,1.0
